user_id,first_name,last_name,phone_number,address,sin_hash,tenant_company,subscription_tier,age,sex,bmi,smoker_status,dependents,recent_hospitalizations,base_risk_score,ocr_conditions,ocr_confidence,requires_manual_review,region,high_risk
cddab7e5-62e2-4112-80a7-879d03b482d6,Danielle,Johnson,1-133-218-1960,"89083 Robinson Radial, Lisatown, YT S3N 4L6",6dfd8d8c4917b050f11938aceb544294dbeb618a1bb7261c0889b959e98f885a,Prairie Life,Standard,52,Male,26.3,False,1,0,7.03,COPD,0.95,False,Ontario,False
3f820dfb-4da2-4ad2-b701-8cda07862ce2,Curtis,James,1 (959) 407-8161,"310 Kendra Common Apt. 164, Reidstad, MB P2J3L9",930a7be8600975a550b9a08b571789c79a12dfcaf50f6d0d14462f6312a8c585,Atlantic Blue,Premium,37,Non-binary,24.1,False,1,0,9.88,None,0.72,False,Quebec,False
a449411d-7b35-45f7-a13f-7e90e8269a22,Jessica,Martin,+1 (548) 350-3056,"537 Wilkerson Row, Thomasberg, NB S4R3P9",011ac01149b2cdcbabb6074fea357b3d7ab944469d4458431cb104c4b2b7a6b5,Atlantic Blue,Standard,66,Male,25.9,False,2,0,10.97,Diabetes,0.63,True,Ontario,False
8fc89489-4f55-4f35-842c-f756dc0102a9,Trevor,Campos,922.691.6697,"184 Rodriguez Mews, South Aaron, SK X2H5X9",c3a7746e3023117a83aeedb99b5962bba1e9d2a040412003ce6a0683ea62214a,Pacific Care,Enterprise,40,Female,24.0,False,1,1,28.19,Hypertension,0.72,False,Alberta,True
68186e97-ec5e-46e9-973a-b7977cee1de8,Chelsea,Hernandez,588 095 7015,"91171 David Mountains, West Allison, PE J5Y7J6",1310f66575c45ef2531bb6c9850f30b38bc7d377e15ffe7725f3e7bf34761ff9,Prairie Life,Premium,25,Male,28.0,True,5,0,6.58,None,0.73,False,Nova Scotia,False
2c9955d7-6be8-4db3-9f0a-83d905469fe2,Samuel,Holmes,433.150.9839,"031 Michele Cliffs, West Elizabeth, NB V7K 4V2",0cc6f3f5ff0f3c8364b1df7d7c342c4fc165d3f58d71e42a9c3f80069b902e74,Pacific Care,Standard,36,Male,20.3,False,0,1,39.54,Heart Disease,0.91,False,Quebec,True
689d2845-a4cd-4326-8ac7-29fb46d7f9ec,Collin,Jordan,+1 (467) 010-6513,"62473 Scott Wall Apt. 080, Port Melindaburgh, NS V1J3R7",70006b5a3adf7f68ef1933291cc6153ffae92b918150224acd02e4f3e33b4109,Pacific Care,Enterprise,60,Female,31.7,False,0,0,9.06,Hypertension,0.95,False,Ontario,False
3a8f8b93-1503-4a6e-842a-983b1cc476b9,Aaron,Myers,646-872-3430 x980,"788 Brian Pass, Port Jacobland, QC R1E 2K7",35900d1b345cf766cf5f0314ffb64d3f2c1eed331c45e728dd403f4242e0d572,Atlantic Blue,Standard,42,Female,21.5,False,3,1,24.64,Hypertension,0.91,False,Saskatchewan,False
3321331a-590c-482b-a651-5411198c54bd,Diane,Cunningham,1 (643) 534-6247,"9911 William Curve, Nicolebury, NT H5T9Y1",6b2c55ff8a58ef79a1384cbf8614a9527f6a63a89cf1c5252c1663edbb14bd03,Northern Shield,Standard,18,Male,31.1,False,0,0,27.27,COPD,0.73,False,Manitoba,False
6c5a1133-e288-4498-b085-fcace8e141a3,Elizabeth,Spencer,424.118.2449,"487 Whitehead Vista, North Cynthiaview, AB N3G 8L9",ba0018391490d95757217f39540b97822004a0bc2578f196a3fe47dcaec6e7a1,Oshawa Health,Premium,50,Female,34.4,False,0,0,10.64,Heart Disease,0.97,False,Saskatchewan,False
